id,message,category
1,RSVP for the annual company meetup. Ref 1.,Events
2,Please note that server downtime may occur during the upgrade window until systems are fully restored. Ref 2.,Important Notices
3,Complete the sprint tasks before tomorrow's standup. Ref 3.,Work
4,Investigate the production issue reported this morning. Ref 4.,Work
5,"Hey, call me when you get home. Ref 5.",Personal
6,Review the pull request and leave comments. Ref 6.,Work
7,Attention: the office will remain closed tomorrow effective immediately. Ref 7.,Important Notices
8,Please note that email services may experience temporary delays effective immediately. Ref 8.,Important Notices
9,Hope you had a good day today. Ref 9.,Personal
10,Finalize the sprint backlog for the upcoming release. Ref 10.,Work
11,Please note that the office will remain closed tomorrow starting tonight. Ref 11.,Important Notices
12,We should watch that movie together. Ref 12.,Personal
13,Kindly be informed that a security patch has been deployed effective immediately. Ref 13.,Important Notices
14,Register to attend the upcoming conference. Ref 14.,Events
15,Let's plan dinner this weekend. Ref 15.,Personal
16,Text me when you arrive. Ref 16.,Personal
17,Investigate the production issue reported this morning. Ref 17.,Work
18,Finalize the sprint backlog for the upcoming release. Ref 18.,Work
19,Finalize the sprint backlog for the upcoming release. Ref 19.,Work
20,Tell me how your day went. Ref 20.,Personal
21,Reminder: system access rules have changed as per the latest policy update. Ref 21.,Important Notices
22,Reminder: a new security policy has been implemented during the maintenance window. Ref 22.,Important Notices
23,Don't forget to bring groceries. Ref 23.,Personal
24,Finalize the sprint backlog for the upcoming release. Ref 24.,Work
25,Register to attend the upcoming conference. Ref 25.,Events
26,Reminder: system access rules have changed from next week onward. Ref 26.,Important Notices
27,Update the task status in the project tracker. Ref 27.,Work
28,Kindly be informed that network services may be temporarily unavailable until further notice. Ref 28.,Important Notices
29,Notice: the system will undergo scheduled maintenance tonight effective immediately. Ref 29.,Important Notices
30,Complete the registration form for the training session. Ref 30.,Events
31,Submit the event participation form before the deadline. Ref 31.,Events
32,Important update: system access rules have changed effective immediately. Ref 32.,Important Notices
33,Coordinate with the design team about the UI updates. Ref 33.,Work
34,Attention: the system will undergo scheduled maintenance tonight from next week onward. Ref 34.,Important Notices
35,Heads up: mandatory compliance training must be completed until the upgrade is completed. Ref 35.,Important Notices
36,Update the documentation for the new API endpoints. Ref 36.,Work
37,RSVP for the annual company meetup. Ref 37.,Events
38,Update the documentation for the new API endpoints. Ref 38.,Work
39,Check the server logs and report any anomalies. Ref 39.,Work
40,RSVP for the annual company meetup. Ref 40.,Events
41,Let's catch up over coffee soon. Ref 41.,Personal
42,Update: server downtime may occur during the upgrade window until further notice. Ref 42.,Important Notices
43,Notice: a security patch has been deployed from next week onward. Ref 43.,Important Notices
44,Let's catch up over coffee soon. Ref 44.,Personal
45,Reserve your seat for the networking event. Ref 45.,Events
46,Reserve your seat for the networking event. Ref 46.,Events
47,Send me the photos from yesterday. Ref 47.,Personal
48,Prepare the presentation for the client meeting. Ref 48.,Work
49,Don't forget to bring groceries. Ref 49.,Personal
50,"Hey, call me when you get home. Ref 50.",Personal
51,Important update: all employees must update their passwords from next week onward. Ref 51.,Important Notices
52,Register for the upcoming workshop using the registration link. Ref 52.,Events
53,Let's catch up over coffee soon. Ref 53.,Personal
54,Submit the event participation form before the deadline. Ref 54.,Events
55,RSVP for the annual company meetup. Ref 55.,Events
56,Update the documentation for the new API endpoints. Ref 56.,Work
57,Notice: mandatory compliance training must be completed for security reasons. Ref 57.,Important Notices
58,Update the documentation for the new API endpoints. Ref 58.,Work
59,Please note that the office will remain closed tomorrow effective immediately. Ref 59.,Important Notices
60,Tell me how your day went. Ref 60.,Personal
61,Let's plan dinner this weekend. Ref 61.,Personal
62,Submit the event participation form before the deadline. Ref 62.,Events
63,Update the task status in the project tracker. Ref 63.,Work
64,Finalize the sprint backlog for the upcoming release. Ref 64.,Work
65,Let me know when you're free to talk. Ref 65.,Personal
66,Complete the sprint tasks before tomorrow's standup. Ref 66.,Work
67,Update the task status in the project tracker. Ref 67.,Work
68,Hope you had a good day today. Ref 68.,Personal
69,Kindly be informed that a new security policy has been implemented until the upgrade is completed. Ref 69.,Important Notices
70,Confirm your attendance for the seminar. Ref 70.,Events
71,Update the task status in the project tracker. Ref 71.,Work
72,Update: system access rules have changed during the scheduled update. Ref 72.,Important Notices
73,Please fill the Google form for event registration. Ref 73.,Events
74,Let's plan dinner this weekend. Ref 74.,Personal
75,Sign up for the hackathon event. Ref 75.,Events
76,Kindly be informed that a security patch has been deployed starting tonight. Ref 76.,Important Notices
77,Let me know when you're free to talk. Ref 77.,Personal
78,RSVP for the annual company meetup. Ref 78.,Events
79,Investigate the production issue reported this morning. Ref 79.,Work
80,Please fill the Google form for event registration. Ref 80.,Events
81,Register to attend the upcoming conference. Ref 81.,Events
82,RSVP for the annual company meetup. Ref 82.,Events
83,Join the webinar scheduled for tomorrow afternoon. Ref 83.,Events
84,Join the webinar scheduled for tomorrow afternoon. Ref 84.,Events
85,Don't forget to bring groceries. Ref 85.,Personal
86,Announcement: the office will remain closed tomorrow until systems are fully restored. Ref 86.,Important Notices
87,Reminder: the system will undergo scheduled maintenance tonight starting tonight. Ref 87.,Important Notices
88,Confirm your attendance for the seminar. Ref 88.,Events
89,Join the webinar scheduled for tomorrow afternoon. Ref 89.,Events
90,Confirm your attendance for the seminar. Ref 90.,Events
91,Complete the registration form for the training session. Ref 91.,Events
92,Check the server logs and report any anomalies. Ref 92.,Work
93,Check the server logs and report any anomalies. Ref 93.,Work
94,Announcement: network services may be temporarily unavailable during the maintenance window. Ref 94.,Important Notices
95,Important update: email services may experience temporary delays starting tonight. Ref 95.,Important Notices
96,Reminder: server downtime may occur during the upgrade window effective immediately. Ref 96.,Important Notices
97,Announcement: system access rules have changed until further notice. Ref 97.,Important Notices
98,Reminder: server downtime may occur during the upgrade window for security reasons. Ref 98.,Important Notices
99,Notice: server downtime may occur during the upgrade window until further notice. Ref 99.,Important Notices
100,Send me the photos from yesterday. Ref 100.,Personal
101,Prepare the presentation for the client meeting. Ref 101.,Work
102,Kindly be informed that email services may experience temporary delays as per the latest policy update. Ref 102.,Important Notices
103,Reminder: all employees must update their passwords until systems are fully restored. Ref 103.,Important Notices
104,"Hey, call me when you get home. Ref 104.",Personal
105,Update the task status in the project tracker. Ref 105.,Work
106,Let's catch up over coffee soon. Ref 106.,Personal
107,Don't forget to bring groceries. Ref 107.,Personal
108,Coordinate with the design team about the UI updates. Ref 108.,Work
109,We should watch that movie together. Ref 109.,Personal
110,Hope you had a good day today. Ref 110.,Personal
111,Sign up for the hackathon event. Ref 111.,Events
112,Kindly be informed that the system will undergo scheduled maintenance tonight until the upgrade is completed. Ref 112.,Important Notices
113,Important update: a security patch has been deployed for security reasons. Ref 113.,Important Notices
114,Let me know when you're free to talk. Ref 114.,Personal
115,Let me know when you're free to talk. Ref 115.,Personal
116,Update the documentation for the new API endpoints. Ref 116.,Work
117,Hope you had a good day today. Ref 117.,Personal
118,Prepare the presentation for the client meeting. Ref 118.,Work
119,Send me the photos from yesterday. Ref 119.,Personal
120,Important update: server downtime may occur during the upgrade window until systems are fully restored. Ref 120.,Important Notices
121,Complete the sprint tasks before tomorrow's standup. Ref 121.,Work
122,Attention: a security patch has been deployed starting tonight. Ref 122.,Important Notices
123,Don't forget to bring groceries. Ref 123.,Personal
124,Register for the upcoming workshop using the registration link. Ref 124.,Events
125,Investigate the production issue reported this morning. Ref 125.,Work
126,"For your information, the system will undergo scheduled maintenance tonight effective immediately. Ref 126.",Important Notices
127,Reminder: email services may experience temporary delays until systems are fully restored. Ref 127.,Important Notices
128,We should watch that movie together. Ref 128.,Personal
129,"For your information, a security patch has been deployed during the scheduled update. Ref 129.",Important Notices
130,Let me know when you're free to talk. Ref 130.,Personal
131,Register to attend the upcoming conference. Ref 131.,Events
132,Tell me how your day went. Ref 132.,Personal
133,Let's catch up over coffee soon. Ref 133.,Personal
134,Review the pull request and leave comments. Ref 134.,Work
135,Reminder: server downtime may occur during the upgrade window during the maintenance window. Ref 135.,Important Notices
