id,message,label
1,The quarterly review meeting will start at 3 PM,1
2,Please review the attached document before the meeting kindly take action,1
3,The client meeting has been scheduled for tomorrow at 10 AM please respond if needed,1
4,Kindly register for the upcoming workshop using the link provided,1
5,The quarterly review meeting will start at 3 PM before the deadline,1
6,Reminder that the system maintenance will occur tonight before the deadline,1
7,There will be a temporary server downtime tonight,1
8,Please review the attached document before the meeting,1
9,The client meeting has been scheduled for tomorrow at 10 AM please respond if needed,1
10,Please fill out the Google form for event registration before the deadline,1
11,Please review the attached document before the meeting before the deadline,1
12,The client meeting has been scheduled for tomorrow at 10 AM before the deadline,1
13,There will be a temporary server downtime tonight please respond if needed,1
14,Reminder to submit your weekly report today before the deadline,1
15,Important update regarding the project deadline,1
16,Submit the required documents for verification please respond if needed,1
17,Training session on the new platform begins tomorrow for your information,1
18,Please complete the compliance training before Friday kindly take action,1
19,Kindly register for the upcoming workshop using the link provided please respond if needed,1
20,Submit the required documents for verification kindly take action,1
21,Reminder that the system maintenance will occur tonight,1
22,There will be a temporary server downtime tonight,1
23,Please complete the compliance training before Friday kindly take action,1
24,Security update: all users must reset their passwords kindly take action,1
25,Submit the required documents for verification,1
26,Training session on the new platform begins tomorrow for your information,1
27,Please fill out the Google form for event registration,1
28,Office will remain closed tomorrow due to maintenance for your information,1
29,Reminder that the system maintenance will occur tonight before the deadline,1
30,Important update regarding the project deadline before the deadline,1
31,Office will remain closed tomorrow due to maintenance kindly take action,1
32,Security update: all users must reset their passwords please respond if needed,1
33,Training session on the new platform begins tomorrow,1
34,Please review the attached document before the meeting please respond if needed,1
35,Submit the required documents for verification kindly take action,1
36,Reminder that the system maintenance will occur tonight please respond if needed,1
37,Kindly confirm your attendance for the seminar,1
38,There will be a temporary server downtime tonight kindly take action,1
39,Reminder to submit your weekly report today kindly take action,1
40,Kindly register for the upcoming workshop using the link provided kindly take action,1
41,Please complete the compliance training before Friday please respond if needed,1
42,The quarterly review meeting will start at 3 PM kindly take action,1
43,Training session on the new platform begins tomorrow,1
44,Security update: all users must reset their passwords please respond if needed,1
45,Please fill out the Google form for event registration please respond if needed,1
46,Kindly register for the upcoming workshop using the link provided for your information,1
47,There will be a temporary server downtime tonight kindly take action,1
48,Office will remain closed tomorrow due to maintenance before the deadline,1
49,The client meeting has been scheduled for tomorrow at 10 AM kindly take action,1
50,Kindly confirm your attendance for the seminar,1
51,The client meeting has been scheduled for tomorrow at 10 AM,1
52,Submit the required documents for verification kindly take action,1
53,There will be a temporary server downtime tonight kindly take action,1
54,Reminder that the system maintenance will occur tonight please respond if needed,1
55,Office will remain closed tomorrow due to maintenance before the deadline,1
56,Office will remain closed tomorrow due to maintenance kindly take action,1
57,The client meeting has been scheduled for tomorrow at 10 AM for your information,1
58,There will be a temporary server downtime tonight for your information,1
59,Kindly register for the upcoming workshop using the link provided kindly take action,1
60,Kindly register for the upcoming workshop using the link provided please respond if needed,1
61,Training session on the new platform begins tomorrow before the deadline,1
62,Please fill out the Google form for event registration kindly take action,1
63,Training session on the new platform begins tomorrow before the deadline,1
64,There will be a temporary server downtime tonight before the deadline,1
65,There will be a temporary server downtime tonight kindly take action,1
66,The client meeting has been scheduled for tomorrow at 10 AM please respond if needed,1
67,Please fill out the Google form for event registration for your information,1
68,Reminder that the system maintenance will occur tonight,1
69,Kindly confirm your attendance for the seminar,1
70,Kindly register for the upcoming workshop using the link provided please respond if needed,1
71,Submit the required documents for verification for your information,1
72,Security update: all users must reset their passwords,1
73,There will be a temporary server downtime tonight for your information,1
74,Security update: all users must reset their passwords for your information,1
75,Please fill out the Google form for event registration kindly take action,1
76,Please fill out the Google form for event registration,1
77,The quarterly review meeting will start at 3 PM,1
78,The quarterly review meeting will start at 3 PM before the deadline,1
79,Submit the required documents for verification kindly take action,1
80,Submit the required documents for verification kindly take action,1
81,Reminder that the system maintenance will occur tonight kindly take action,1
82,There will be a temporary server downtime tonight please respond if needed,1
83,Reminder to submit your weekly report today,1
84,Training session on the new platform begins tomorrow kindly take action,1
85,Please fill out the Google form for event registration please respond if needed,1
86,Please fill out the Google form for event registration,1
87,Kindly confirm your attendance for the seminar kindly take action,1
88,Kindly confirm your attendance for the seminar before the deadline,1
89,Security update: all users must reset their passwords please respond if needed,1
90,Kindly register for the upcoming workshop using the link provided kindly take action,1
91,Submit the required documents for verification please respond if needed,1
92,Please fill out the Google form for event registration before the deadline,1
93,Office will remain closed tomorrow due to maintenance,1
94,Security update: all users must reset their passwords kindly take action,1
95,Reminder to submit your weekly report today,1
96,Reminder that the system maintenance will occur tonight kindly take action,1
97,Office will remain closed tomorrow due to maintenance kindly take action,1
98,The client meeting has been scheduled for tomorrow at 10 AM,1
99,The client meeting has been scheduled for tomorrow at 10 AM before the deadline,1
100,Reminder that the system maintenance will occur tonight,1
101,Training session on the new platform begins tomorrow for your information,1
102,Kindly confirm your attendance for the seminar,1
103,Submit the required documents for verification before the deadline,1
104,Submit the required documents for verification please respond if needed,1
